日期,備轉容量(萬瓩),備轉容量率(%)
2022/01/01,334.5,13.04
2022/01/02,364.1,14.05
2022/01/03,318.4,10.62
2022/01/04,262.0,8.64
2022/01/05,251.2,8.25
2022/01/06,320.9,10.60
2022/01/07,301.0,10.05
2022/01/08,314.7,11.50
2022/01/09,315.8,11.89
2022/01/10,249.1,8.25
2022/01/11,241.3,7.92
2022/01/12,222.0,7.35
2022/01/13,247.5,8.20
2022/01/14,268.1,8.98
2022/01/15,229.3,8.25
2022/01/16,342.9,12.80
2022/01/17,271.5,8.88
2022/01/18,242.5,7.92
2022/01/19,300.2,9.90
2022/01/20,266.0,8.69
2022/01/21,217.9,7.09
2022/01/22,303.2,10.28
2022/01/23,230.1,8.47
2022/01/24,316.7,10.45
2022/01/25,296.3,9.87
2022/01/26,254.9,8.48
2022/01/27,346.3,11.78
2022/01/28,470.0,17.00
2022/01/29,334.6,12.76
2022/01/30,308.7,12.30
2022/01/31,311.1,13.46
2022/02/01,442.1,19.32
2022/02/02,323.2,14.07
2022/02/03,313.5,13.09
2022/02/04,357.7,14.49
2022/02/05,293.0,11.57
2022/02/06,310.8,12.01
2022/02/07,298.6,10.04
2022/02/08,339.5,11.32
2022/02/09,283.3,9.36
2022/02/10,297.2,9.78
2022/02/11,334.3,11.08
2022/02/12,292.1,10.43
2022/02/13,375.7,13.90
2022/02/14,296.6,9.70
2022/02/15,287.7,9.40
2022/02/16,366.5,12.02
2022/02/17,304.3,9.88
2022/02/18,318.4,10.40
2022/02/19,298.9,10.53
2022/02/20,297.2,10.45
2022/02/21,200.6,6.40
2022/02/22,260.3,8.40
2022/02/23,256.7,8.20
2022/02/24,251.1,8.07
2022/02/25,340.6,11.31
2022/02/26,343.7,12.35
2022/02/27,373.0,14.24
2022/02/28,412.7,15.10
2022/03/01,251.0,8.23
2022/03/02,313.5,10.22
2022/03/03,712.6,24.61
2022/03/04,326.1,10.79
2022/03/05,433.8,15.83
2022/03/06,463.2,17.57
2022/03/07,252.7,8.50
2022/03/08,329.0,10.99
2022/03/09,255.0,8.42
2022/03/10,308.8,10.18
2022/03/11,314.8,10.37
2022/03/12,343.8,12.32
2022/03/13,283.9,10.36
2022/03/14,265.9,8.50
2022/03/15,298.6,9.37
2022/03/16,285.9,8.94
