日期,備轉容量(萬瓩),備轉容量率(%)
2019/1/1,255.73,10.71
2019/1/2,189.95,6.75
2019/1/3,189.16,6.65
2019/1/4,181.11,6.36
2019/1/5,190.27,7.30
2019/1/6,233.27,9.48
2019/1/7,179.93,6.31
2019/1/8,184.33,6.42
2019/1/9,195.37,6.82
2019/1/10,184.73,6.37
2019/1/11,188.34,6.54
2019/1/12,249.66,9.64
2019/1/13,239.76,9.73
2019/1/14,174.54,6.16
2019/1/15,184.41,6.38
2019/1/16,184.88,6.45
2019/1/17,193.27,6.81
2019/1/18,193.59,6.97
2019/1/19,195.39,7.38
2019/1/20,259.87,10.59
2019/1/21,191.47,6.90
2019/1/22,192.14,6.83
2019/1/23,193.88,6.96
2019/1/24,187.23,6.72
2019/1/25,190.53,6.98
2019/1/26,253.49,10.03
2019/1/27,209.16,8.57
2019/1/28,180.57,6.55
2019/1/29,183.23,6.58
2019/1/30,180.97,6.52
2019/1/31,188.96,6.95
2019/2/1,214.8,8.69
2019/2/2,224.03,9.58
2019/2/3,203.82,8.89
2019/2/4,256.29,12.68
2019/2/5,233.31,11.67
2019/2/6,232.21,11.65
2019/2/7,210.72,10.06
2019/2/8,311.45,14.43
2019/2/9,313.58,13.98
2019/2/10,302.34,13.01
2019/2/11,227.52,8.53
2019/2/12,186,6.70
2019/2/13,191.49,6.91
2019/2/14,194.35,6.88
2019/2/15,195.98,6.93
2019/2/16,242.65,9.54
2019/2/17,267.32,10.98
2019/2/18,176.18,6.15
2019/2/19,189.16,6.55
2019/2/20,183.8,6.32
2019/2/21,181.25,6.27
2019/2/22,187.01,6.58
2019/2/23,172.85,6.47
2019/2/24,177,7.17
2019/2/25,175.38,6.24
2019/2/26,181.76,6.40
2019/2/27,190.28,6.79
2019/2/28,243.02,9.54
2019/3/1,237.12,9.60
2019/3/2,183.25,7.41
2019/3/3,222.43,9.23
2019/3/4,189.45,6.84
2019/3/5,195.37,6.92
2019/3/6,192.23,6.86
2019/3/7,186.77,6.64
2019/3/8,181.61,6.50
2019/3/9,219.15,8.47
2019/3/10,182.31,7.35
2019/3/11,179.38,6.47
2019/3/12,187.92,6.73
2019/3/13,192.26,6.83
2019/3/14,177.99,6.26
2019/3/15,192.84,6.95
2019/3/16,251.85,9.95
2019/3/17,229.02,9.28
2019/3/18,175.51,6.19
2019/3/19,180.48,6.25
2019/3/20,184.37,6.22
2019/3/21,196.73,6.48
2019/3/22,234.12,7.90
2019/3/23,208.42,8.25
2019/3/24,185.93,7.49
2019/3/25,185.26,6.49
2019/3/26,188.66,6.56
2019/3/27,193.31,6.63
